year,id,regionName,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116,Ftec0101,Ftec0102,Ftec0103,Ifa0101,Ifa0102,Ifa0104,Pop01,Pop04,Pop05,Pop30,Tpt0101,Tpt0103,Tpt0104,bm,ccnl,egdp,hdmsp,hviirs,viirs,viirsl
1992,130000,河北省,1278.5,257.08,573.15,448.27,20.1079,44.8299,35.0622,2040,,,,335.79,,,6275,,,,3609,48334,,,401379.9473,53783761445,751402.7843,,,
1993,310000,上海市,1511.61,37.82,902.38,579.03,2.5278,59.561,37.9112,10729,1450028,656564,793464,653.91,,,1349,,,,247,3677,,,113302.5552,24303771442,187099.8275,,,
1993,110000,北京市,863.54,53.14,419.56,413.51,6.2047,48.0337,45.7616,8006,348464,114118,254346,121.8,,,1112,,,,874.6,11242,,,151025.3006,27983486912,253860.251,,,
1993,120000,天津市,536.1,35.4,308.4,195.14,6.6014,56.4223,36.9763,5800,397768,205737,192031,226.56,,,928,,,,3789,4117,,,110538.2952,20665582591,200066.6941,,,
1993,500000,重庆市,608.53,141.99,229.53,181.53,23.3333,44.7258,31.9409,1870,,,,,,,,,,,,,,,22291.82546,10725298275,49717.07059,,,
1993,330000,浙江省,1909.49,315.97,983.96,625.99,16.4063,51.0907,32.5036,4469,673008,432052,240956,683.83,,,4266,,,,921,32838,,,165141.0844,47484836069,344443.902,,,
1993,430000,湖南省,1278.28,383.68,470.05,390.98,30.8249,37.7638,31.4113,1997,173281,113765,59516,320.24,,,6311,,,,2273,58421,,,60066.02162,22759063152,138840.0314,,,
1993,420000,湖北省,1424.38,346.39,537.6,441.84,26.1263,40.5482,33.3255,2361,222820,122731,100089,383.18,,,5653,,,,1941,48008,,,106797.0362,28686640655,228937.0706,,,
1993,140000,山西省,704.7,97.27,335.03,248.11,14.2958,49.2394,36.4648,2271,65316,40699,24617,251.26,,,3012,,,,2331,32210,,,327922.8224,49476635632,641740.0745,,,
1993,340000,安徽省,1069.84,286,444.97,306.17,27.5758,42.9036,29.5206,1785,123896,78472,45424,321.04,,,5897,,,,1672,30723,,,109114.6827,30035478736,230901.102,,,
1993,460000,海南省,258.08,76.82,66.08,117.5,29.4996,25.3754,45.1212,3755,251797,91992,159805,188.25,,,701,,,,214,12937,,,33354.46454,6979203120,71044.19608,,,
1993,130000,河北省,1690.84,301.68,847.92,541.24,17.842,50.1479,32.0101,2682,246152,167916,78236,540.2,,,6334,,,,3806,49195,,,459261.2798,64225126431,907386.7843,,,
1993,320000,江苏省,2998.16,490.59,1598.05,909.52,16.363,53.301,30.3359,4321,924469,465117,459352,1144.2,,,6967,,,,747,25505,,,318432.5261,84027554947,629470.3412,,,
1993,510000,四川省,2096.48,449.38,580.38,456.32,30.2393,39.0544,30.7063,1854,223043,115595,107448,459.4,,,11104,,,,,,,,72871.44783,39897547300,163575.5686,,,
1993,540000,西藏自治区,37.28,18.3,5.49,13.63,48.9043,14.6713,36.4244,1624,18870,10391,8479,18.15,,,232,,,,,21944,,,2566.568078,48164135088,5195.180392,,,
1993,620000,甘肃省,372.24,87.43,159.96,124.85,23.4875,42.9723,33.5402,1600,39905,21908,17997,122.08,,,2345,,,,1884,34875,,,71357.13877,29837452792,153625.9882,,,
1993,630000,青海省,109.62,22.21,48.13,39.34,20.2498,43.8822,35.868,2364,10121,7630,2491,44.73,,,467,,,,1097,16963,,,16235.39914,31839692708,33427.95686,,,
1993,350000,福建省,1133.49,254.36,455.79,404.05,22.8289,40.9074,36.2637,3556,1003808,515636,488172,368.45,,,3150,,,,1015,43558,,,99688.04259,29728177598,205290.8549,,,
1993,530000,云南省,779.21,191.45,325.57,266.25,24.4424,41.5655,33.9921,2030,117165,79653,37512,251.4,,,3885,,,,1644,63086,,,78370.36192,35203894133,169089.4863,,,
1993,440000,广东省,3225.3,558.7,1704.88,1205.7,16.1042,49.1422,34.7536,5085,7834492,3738838,4095654,1629.87,,,6607,,,,1564,67554,,,477420.5068,1.14E+11,877515.1255,,,
1993,650000,新疆维吾尔自治区,505.63,126.85,205.07,163.33,25.6133,41.4074,32.9793,2964,78607,37523,41084,248.44,,,1605,,,,2038,27961,,,144128.1379,96995680693,291259.0784,,,
1993,210000,辽宁省,2010.82,260.8,1039.3,710.8,12.97,51.6859,35.3491,5015,851980,516834,335146,718.3,,,4042,,,,3758,41638,,,337139.1385,46045496623,673998.1059,,,
1993,610000,陕西省,671.37,148.24,297.49,232.47,21.8579,43.8646,34.2775,1981,131394,73488,57906,228.21,,,3443,,,,2121,38536,,,129695.4232,33652135725,269093.5098,,,
1993,220000,吉林省,717.95,156.05,351.03,211.5,21.7164,48.8505,29.433,2826,250542,120472,130070,253.59,,,2555,,,,3473,28374,,,199686.3797,29592387962,417008.7059,,,
1993,520000,贵州省,416.07,133.41,155.03,129.25,31.94,37.116,30.944,1234,34338,20033,14305,106.3,,,3409,,,,1408,32092,,,32397.04352,14953205497,74772.14118,,,
1993,150000,内蒙古自治区,532.71,149.96,203.46,184.39,27.8835,37.8312,34.2853,2423,99151,48483,50668,217.4,,,2232,,,,5800,43789,,,162585.0103,75686850138,335108.949,,,
1993,640000,宁夏回族自治区,103.82,20.84,45.61,38.04,19.9445,43.6501,36.4054,2148,10231,6317,3914,52.67,,,495,,,,446,8301,,,34267.18833,8725669933,70285.65882,,,
1993,410000,河南省,1662.76,410.45,764.2,485.53,24.7232,46.0312,29.2456,1865,130931,75053,55878,450.43,,,8946,,,,3456,46487,,,304764.2957,51074083545,613604.9529,,,
1993,450000,广西壮族自治区,893.58,245.6,321.1,305,28.1748,36.8361,34.9891,1982,205805,89317,116488,278.07,,,4438,,,,2294,38495,,,69691.58951,24316852528,153636.6078,,,
1993,360000,江西省,723.06,225.58,282.46,215,31.1988,39.0656,29.7356,1835,116747,61415,55332,185.5,,,3966,,,,1644,34207,,,49828.14896,17907440945,114897.5529,,,
